user_country,user_age,user_gender,user_id,iteration_1_ndcg@10,iteration_1_average_pop,iteration_2_ndcg@10,iteration_2_average_pop,train_pop
RU,26,m,216,0.0,0.006845610259691162,0.7039180890341347,0.006423939279378834,0.009004129467531334
RU,26,m,217,0.0,0.008273475441300492,0.0,0.009375636141565127,0.004314857358885625
SE,33,m,218,1.0,0.00483612993282345,1.0,0.009742053683077907,0.0067988573499377005
SE,22,m,219,0.6489315753318465,0.0047968709105185095,0.5473983622993502,0.010272777503126182,0.0018334652171184643
RU,23,m,220,0.933745776545611,0.011220810189897346,0.866947989864271,0.004178904818681478,0.0050038928163389975
US,24,m,221,0.841492960259019,0.004818681478465699,0.627507133061656,0.006330880856137494,0.010588755352401499
BR,29,m,222,,,,,
SE,43,m,223,0.6295516106099184,0.006131677668886499,0.1734276569882394,0.0036699915665803938,0.0016462939806063661
NL,29,m,224,0.3903800499921017,0.0023773519062436385,0.0,0.006015354639834821,0.0015349582311819053
PL,28,m,225,0.2495258387824492,0.009384360368744002,0.1388624438735545,0.00491901009102277,0.0022625969572404527
RU,37,m,226,0.7849818707050383,0.0041832669322709164,0.6968404678259545,0.005317416465524762,0.001772073007526214
UK,23,m,227,0.4692787260227564,0.006801989123796784,0.3391602052736161,0.004891383371622997,0.006144117770604525
US,28,m,228,1.0,0.014536016517870126,1.0,0.00659115363364062,0.034579145889463946
PL,32,m,229,0.9305687780632228,0.006502457323988717,0.7421246259355073,0.004426091255416291,0.007294930502625948
UA,26,m,230,0.0,0.003638002733591183,0.2371977127692962,0.003700526361706459,0.0014394974845144968
RS,29,m,231,0.7778721720600673,0.00307092796696426,0.7967610662472993,0.003962253177072731,0.00410527056536766
AT,26,m,232,0.229063610761909,0.009635908919068254,0.3495449192765852,0.006351237386221538,0.0024335628821725735
NL,20,m,233,0.6678262889110271,0.0029793235815860643,0.7721596254947203,0.005007706400674673,0.0032571134001386
AU,30,m,234,0.6525338696093614,0.004248698636112484,0.3688556721386528,0.006730741268502633,0.0027741364692828907
DE,23,m,235,1.0,0.0033181144036990725,0.1510196182278052,0.006524267891935906,0.0007560996888358973
RU,22,f,236,0.4309168405932231,0.00910809317474627,0.4519792040377807,0.009595195858900165,0.002767195613329327
CZ,21,m,237,0.1412669728598289,0.011770436502166517,0.3391602052736161,0.014328089103440253,0.0025639534320140364
PL,25,m,238,0.0,0.001827725593974467,0.0,0.004350481286532702,0.001759385814406607
NZ,39,m,239,0.0979129253499678,0.011978363916596388,0.0,0.025301712856602786,0.0025510286510082945
DE,25,m,240,0.644824486427155,0.0008811469450664495,0.8189080569732082,0.0017797423444906508,0.006209145575039664
TR,33,m,241,1.0,0.021465960973623754,1.0,0.019772006863058713,0.007445399707515952
BR,26,m,242,0.6713860725233041,0.008670427777939338,0.8318724637288826,0.009750777910256784,0.0031479919737109952
FI,24,m,243,0.4220949603708207,0.009209875825166487,0.43735247915031,0.005093494634600284,0.0030233723756754862
AT,24,m,244,,,,,
PL,22,m,245,0.3052348839397011,0.005747811673015965,0.4323181322709947,0.010333847093378312,0.001557066831734584
FI,28,m,246,1.0,0.003382092069677494,0.3391602052736161,0.0046427428970250385,0.0024193574445122994
DE,43,m,247,0.6366824387328317,0.003918632041178352,0.4034698846650846,0.007383604269055166,0.001449525331846538
US,26,m,248,0.0,0.010246604821589555,0.510227424721404,0.01646552476226481,0.002002028382819089
TR,31,m,249,0.0,0.009092098758251666,0.2125230262274308,0.0070273649925844065,0.0020836994769256835
UA,26,m,250,0.3813374668042712,0.017406287259720245,0.2528410271851773,0.005121121354000058,0.003600628575182913
DE,20,m,251,0.6020941629041773,0.006822345653880827,0.6362397031144189,0.005714368802163609,0.0016553073147287914
SE,21,m,252,0.8701249883466593,0.0030723820048274056,0.933745776545611,0.004064035827492948,0.004063897347696458
UK,19,m,253,0.0,0.012306976473667375,0.6131471927654584,0.0032163317532788553,0.0021325888659474023
PL,25,f,254,0.0,0.004997528135632652,1.0,0.004612208101898973,0.004144007909965976
UA,23,m,255,,,,,
UK,24,m,256,0.6131471927654584,0.0029327943699653937,0.0,0.006941576758658795,0.0012635589030738361
LT,23,m,257,1.0,0.0037514176869165674,0.7316362001126298,0.001294093698199901,0.0024857438196781555
FI,20,f,258,1.0,0.008735859481780905,0.8643145546088337,0.022662634134992875,0.0030358648824929686
BG,26,m,259,0.4690000933206748,0.013036903480966644,0.5473983622993502,0.0037877686334952163,0.002963263072461316
PL,32,m,260,,,,,
RO,28,m,261,0.6131471927654584,0.005233082269462297,0.098039285831357,0.018749818245267107,0.0033597362375316253
PL,41,m,262,0.8553475075669357,0.005619856341059121,0.6051399156371955,0.004571495041730886,0.002562332320403248
CZ,35,m,263,0.6131471927654584,0.003639456771454329,1.0,0.00637886410562131,0.001862490317429684
CZ,23,m,264,0.0,0.003591473521970512,0.1951900249960508,0.011520341989705411,0.0015245027749753374
US,25,m,265,1.0,0.031205106580975372,0.8630152897016883,0.00970134062290982,0.0029920580555405207
ES,27,m,266,0.866947989864271,0.014970773838950766,0.8643145546088337,0.007357431587518538,0.010703865109599834
PL,28,m,267,0.5087403079104241,0.02127984412714107,0.2330200468223441,0.009558844912321517,0.001602112331250004
CO,33,m,268,0.0979129253499678,0.003917178003315207,0.3430427114200248,0.006166574577602,0.0018209288123351105
UK,22,m,269,0.0,0.005734725332247652,0.5026317885449211,0.007113153226510018,0.001230116032221479
PL,23,f,270,0.7653606369886217,0.011505801611073953,0.7751482523375255,0.004298135923459447,0.002235583214586908
BE,38,m,271,1.0,0.0029400645592811236,1.0,0.006768546252944427,0.002680761140353428
UK,29,m,272,0.2346393630113782,0.007102974961467996,0.0,0.009270945415418617,0.00133308834998427
PE,27,f,273,0.5637884576902256,0.009468694564806469,0.1834098052484001,0.010463256463198302,0.0035059089861776923
DE,24,m,274,0.0,0.0013493471369994475,0.0,0.004334486870038096,0.0019411405472998518
UK,39,m,275,0.644824486427155,0.0021839648704452264,0.5423640154200349,0.006482100793904673,0.0013717605986947705
