user_id,_AU,_BR,_CA,_DE,_FR,_JP,_NZ,_SE,_UK,_US
126,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
127,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
128,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
129,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
130,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
131,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
132,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
133,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
134,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
135,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
136,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
137,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
138,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
140,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
141,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
142,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.5
143,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
144,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
145,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
146,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
147,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
148,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
149,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
150,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
151,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
152,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
153,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
154,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
155,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
156,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
157,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
